id_achat,date_achat,id_produit,quantité,id_fournisseur,prix_unitaire,délai_livraison_jours,nom_fournisseur,ville,pays,fiabilité,délai_moyen_jours,cout_total,delai_deviation,retard_jours,mois_achat,on_time_delivery
PO000001,2024-03-22,P00627,150,S029,129.62,14,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,19443.0,8,8,3,0
PO000002,2024-06-12,P00469,50,S028,110.81,8,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,5540.5,0,0,6,1
PO000003,2024-01-19,P00849,75,S001,140.58,8,Lecomte et Fils,Zurich,Suisse,0.84,10,10543.500000000002,-2,0,1,1
PO000004,2024-11-20,P00484,500,S028,120.77,9,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,60385.0,1,1,11,0
PO000005,2024-06-07,P00196,50,S025,256.05,13,Techer SA,Varsovie,Pologne,0.92,12,12802.5,1,1,6,0
PO000006,2024-03-21,P00013,50,S029,90.66,12,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,4533.0,6,6,3,0
PO000007,2024-01-27,P00775,100,S029,151.01,9,Fontaine Lopes S.A.,Helsinki,Finlande,0.54,6,15101.0,3,3,1,0
PO000008,2024-07-13,P00876,200,S028,299.85,8,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,59970.00000000001,0,0,7,1
PO000009,2024-10-18,P00631,25,S018,194.49,9,Guérin,Copenhague,Danemark,0.92,11,4862.25,-2,0,10,1
PO000010,2024-08-29,P00519,100,S008,290.86,10,Gaillard S.A.,Berlin,Allemagne,0.64,7,29086.0,3,3,8,0
PO000011,2024-09-24,P00274,200,S028,132.94,11,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,26588.0,3,3,9,0
PO000012,2024-01-28,P00752,50,S008,103.28,3,Gaillard S.A.,Berlin,Allemagne,0.64,7,5164.0,-4,0,1,1
PO000013,2024-02-12,P00963,50,S008,81.21,4,Gaillard S.A.,Berlin,Allemagne,0.64,7,4060.4999999999995,-3,0,2,1
PO000014,2024-07-14,P00509,100,S028,233.21,2,Delattre Blot S.A.,Berlin,Allemagne,0.74,8,23321.0,-6,0,7,1
PO000015,2024-11-07,P00380,25,S036,132.32,8,Moreau Dubois S.A.S.,Stockholm,Suède,0.97,10,3308.0,-2,0,11,1
PO000016,2024-06-20,P00870,50,S010,176.8,2,Pelletier,Paris,France,0.98,3,8840.0,-1,0,6,1
PO000017,2024-05-15,P00989,200,S008,126.68,3,Gaillard S.A.,Berlin,Allemagne,0.64,7,25336.0,-4,0,5,1
PO000018,2024-11-24,P00209,75,S010,79.69,14,Pelletier,Paris,France,0.98,3,5976.75,11,11,11,0
PO000019,2024-05-07,P00695,10,S012,34.53,5,Lucas,Stockholm,Suède,1.0,11,345.3,-6,0,5,1
