id_commande,date_commande,id_produit,quantité,entrepôt,statut,date_retour,motif,return_flag,order_month
O000001,2024-09-03,P00413,2,Marseille,Livré,,,0,9
O000002,2024-11-09,P00778,15,Lyon,Expédié,,,0,11
O000004,2024-11-03,P00535,8,Lyon,Livré,,,0,11
O000006,2024-01-24,P00898,3,Paris,Livré,,,0,1
O000007,2024-02-15,P00445,1,Lyon,Livré,,,0,2
O000008,2024-04-30,P00526,1,Lyon,Livré,,,0,4
O000009,2024-12-29,P00942,1,Lyon,Livré,,,0,12
O000011,2024-12-10,P00699,10,Lyon,Livré,,,0,12
O000012,2024-11-26,P00046,5,Lyon,Livré,,,0,11
O000013,2024-10-29,P00765,5,Marseille,Expédié,,,0,10
O000014,2024-03-05,P00846,1,Marseille,Livré,,,0,3
O000015,2024-12-07,P00417,15,Lyon,Livré,,,0,12
O000018,2024-11-25,P00630,10,Paris,Livré,,,0,11
O000019,2024-04-16,P00876,1,Paris,Expédié,,,0,4
O000020,2024-11-21,P00516,1,Lyon,Livré,2024-12-18,Mauvaise référence,1,11
O000021,2024-08-13,P00171,1,Paris,Expédié,2024-08-29,Livraison incomplète,1,8
O000022,2024-02-19,P00414,2,Paris,Livré,2024-03-18,Produit abîmé,1,2
O000023,2024-12-05,P00699,3,Lyon,Livré,,,0,12
O000024,2024-03-15,P00012,2,Marseille,Livré,2024-03-28,Mauvaise référence,1,3
O000025,2024-12-25,P00467,2,Marseille,Livré,,,0,12
O000026,2024-11-22,P00948,5,Paris,Livré,2024-12-13,Livraison incomplète,1,11
O000027,2024-12-28,P00707,1,Marseille,Expédié,,,0,12
O000028,2024-12-13,P00757,2,Lyon,Livré,,,0,12
O000029,2024-12-25,P00319,2,Lyon,Expédié,,,0,12
O000031,2024-11-07,P00435,3,Lyon,Expédié,,,0,11
O000032,2024-05-17,P00912,8,Lyon,Livré,,,0,5
O000033,2024-10-07,P00355,1,Lyon,Expédié,,,0,10
O000034,2024-12-06,P00116,3,Lyon,Livré,,,0,12
O000035,2024-12-03,P00193,3,Paris,Livré,,,0,12
O000036,2024-01-24,P00982,1,Lyon,Livré,,,0,1
O000037,2024-12-14,P00205,5,Marseille,Expédié,,,0,12
O000038,2024-01-17,P00012,1,Lyon,Expédié,,,0,1
O000039,2024-12-01,P00698,1,Paris,Livré,,,0,12
O000040,2024-03-19,P00452,15,Paris,Expédié,,,0,3
O000041,2024-11-14,P00466,15,Marseille,Expédié,,,0,11
O000042,2024-09-17,P00182,8,Lyon,Livré,,,0,9
O000043,2024-05-22,P00140,2,Paris,Expédié,2024-06-19,Livraison incomplète,1,5
O000044,2024-12-02,P00759,1,Lyon,Expédié,,,0,12
O000045,2024-09-24,P00732,5,Marseille,Livré,,,0,9
O000046,2024-11-11,P00886,2,Lyon,Expédié,,,0,11
O000047,2024-04-04,P00021,1,Paris,Expédié,,,0,4
O000048,2024-11-14,P00362,3,Marseille,Livré,,,0,11
O000049,2024-05-17,P00296,1,Lyon,Expédié,,,0,5
O000051,2024-11-26,P00765,12,Marseille,Expédié,,,0,11
O000053,2024-02-18,P00452,2,Marseille,Livré,,,0,2
O000054,2024-12-18,P00568,5,Marseille,Livré,,,0,12
O000056,2024-09-14,P00886,2,Paris,Livré,,,0,9
O000057,2024-12-03,P00791,3,Paris,Livré,,,0,12
O000058,2024-11-10,P00672,3,Paris,Livré,,,0,11
O000059,2024-12-07,P00658,1,Marseille,Expédié,,,0,12
O000060,2024-09-17,P00550,15,Paris,Expédié,,,0,9
O000061,2024-12-16,P00631,8,Paris,Expédié,,,0,12
O000062,2024-04-17,P00461,12,Paris,Livré,,,0,4
O000063,2024-10-25,P00343,12,Marseille,Expédié,,,0,10
O000064,2024-08-22,P00658,3,Marseille,Expédié,,,0,8
O000065,2024-03-05,P00240,12,Paris,Expédié,,,0,3
