id_produit,catégorie,marque,prix,stock_minimum,date,entrepot,niveau_stock,stock_gap,month
P00001,Soins capillaires,Luxe eclat,467.42,52,2024-06-01,Lyon,88,36,6
P00001,Soins capillaires,Luxe eclat,467.42,52,2024-04-22,Paris,141,89,4
P00002,Accessoires,Maison Pure,291.26,10,2024-09-25,Lyon,286,276,9
P00003,Maquillage,Essentielle Paris,354.39,60,2024-02-18,Paris,177,117,2
P00003,Maquillage,Essentielle Paris,354.39,60,2024-07-13,Lyon,95,35,7
P00004,Accessoires,Reflet d'or,462.8,33,2024-08-06,Paris,57,24,8
P00004,Accessoires,Reflet d'or,462.8,33,2024-06-30,Lyon,24,-9,6
P00005,Accessoires,Elixir Haute Beauté,359.47,33,2024-10-05,Paris,65,32,10
P00006,Parfums,Luxe eclat,93.22,26,2024-09-03,Paris,215,189,9
P00006,Parfums,Luxe eclat,93.22,26,2024-09-14,Lyon,182,156,9
P00007,Maquillage,Maison Pure,296.62,14,2024-10-02,Paris,200,186,10
P00007,Maquillage,Maison Pure,296.62,14,2024-12-15,Lyon,165,151,12
P00008,Maquillage,Essentielle Paris,311.22,29,2024-09-15,Paris,296,267,9
P00009,Maquillage,Reflet d'or,223.58,30,2024-09-13,Paris,88,58,9
P00009,Maquillage,Reflet d'or,223.58,30,2024-07-06,Marseille,227,197,7
P00010,Accessoires,Elixir Haute Beauté,373.49,67,2024-11-29,Paris,108,41,11
P00011,Soins capillaires,Luxe eclat,468.5,40,2024-03-07,Paris,85,45,3
P00012,Maquillage,Maison Pure,464.27,20,2024-04-04,Paris,31,11,4
P00012,Maquillage,Maison Pure,464.27,20,2024-11-01,Lyon,98,78,11
P00013,Accessoires,Essentielle Paris,236.4,61,2024-05-06,Lyon,219,158,5
P00014,Parfums,Reflet d'or,74.35,24,2024-03-15,Paris,100,76,3
P00014,Parfums,Reflet d'or,74.35,24,2024-02-14,Lyon,262,238,2
P00015,Soins capillaires,Elixir Haute Beauté,492.72,92,2024-04-25,Paris,261,169,4
P00015,Soins capillaires,Elixir Haute Beauté,492.72,92,2024-03-22,Lyon,165,73,3
P00016,Parfums,Luxe eclat,422.67,16,2024-11-21,Lyon,239,223,11
P00016,Parfums,Luxe eclat,422.67,16,2024-02-06,Marseille,278,262,2
P00017,Soins capillaires,Maison Pure,79.84,37,2024-12-03,Lyon,22,-15,12
P00018,Accessoires,Essentielle Paris,462.0,60,2024-06-28,Paris,93,33,6
P00018,Accessoires,Essentielle Paris,462.0,60,2024-02-16,Lyon,274,214,2
P00019,Soins de la peau,Reflet d'or,437.55,67,2024-12-19,Lyon,74,7,12
P00020,Soins capillaires,Elixir Haute Beauté,269.04,14,2024-03-19,Marseille,297,283,3
P00021,Parfums,Luxe eclat,303.81,14,2024-01-03,Marseille,176,162,1
P00021,Parfums,Luxe eclat,303.81,14,2024-07-19,Lyon,264,250,7
P00022,Accessoires,Maison Pure,211.52,17,2024-01-20,Paris,142,125,1
P00023,Soins capillaires,Essentielle Paris,46.29,73,2024-06-02,Lyon,298,225,6
P00023,Soins capillaires,Essentielle Paris,46.29,73,2024-03-13,Marseille,256,183,3
P00024,Soins de la peau,Reflet d'or,180.89,19,2024-04-28,Paris,113,94,4
P00024,Soins de la peau,Reflet d'or,180.89,19,2024-09-23,Lyon,266,247,9
P00025,Soins de la peau,Elixir Haute Beauté,405.37,47,2024-06-11,Paris,78,31,6
P00026,Maquillage,Luxe eclat,22.22,90,2024-03-20,Lyon,74,-16,3
P00026,Maquillage,Luxe eclat,22.22,90,2024-04-27,Paris,194,104,4
P00027,Maquillage,Maison Pure,180.08,17,2024-02-26,Lyon,256,239,2
P00027,Maquillage,Maison Pure,180.08,17,2024-09-27,Paris,236,219,9
P00028,Parfums,Essentielle Paris,211.12,34,2024-03-27,Marseille,142,108,3
P00029,Soins capillaires,Reflet d'or,277.95,82,2024-02-11,Marseille,284,202,2
P00029,Soins capillaires,Reflet d'or,277.95,82,2024-09-15,Paris,268,186,9
P00030,Soins capillaires,Elixir Haute Beauté,461.53,75,2024-04-03,Paris,232,157,4
P00030,Soins capillaires,Elixir Haute Beauté,461.53,75,2024-06-26,Marseille,149,74,6
P00031,Maquillage,Luxe eclat,186.25,88,2024-07-22,Lyon,30,-58,7
