id_commande,date_commande,id_produit,quantité,entrepôt,statut,date_retour,motif
O000001,2024-09-03,P00413,2,Marseille,Livré,null,null
O000002,2024-11-09,P00778,15,Lyon,Expédié,null,null
O000004,2024-11-03,P00535,8,Lyon,Livré,null,null
O000006,2024-01-24,P00898,3,Paris,Livré,null,null
O000007,2024-02-15,P00445,1,Lyon,Livré,null,null
O000008,2024-04-30,P00526,1,Lyon,Livré,null,null
O000009,2024-12-29,P00942,1,Lyon,Livré,null,null
O000011,2024-12-10,P00699,10,Lyon,Livré,null,null
O000012,2024-11-26,P00046,5,Lyon,Livré,null,null
O000013,2024-10-29,P00765,5,Marseille,Expédié,null,null
O000014,2024-03-05,P00846,1,Marseille,Livré,null,null
O000015,2024-12-07,P00417,15,Lyon,Livré,null,null
O000018,2024-11-25,P00630,10,Paris,Livré,null,null
O000019,2024-04-16,P00876,1,Paris,Expédié,null,null
O000020,2024-11-21,P00516,1,Lyon,Livré,2024-12-18,Mauvaise référence
O000021,2024-08-13,P00171,1,Paris,Expédié,2024-08-29,Livraison incomplète
O000022,2024-02-19,P00414,2,Paris,Livré,2024-03-18,Produit abîmé
O000023,2024-12-05,P00699,3,Lyon,Livré,null,null
O000024,2024-03-15,P00012,2,Marseille,Livré,2024-03-28,Mauvaise référence
O000025,2024-12-25,P00467,2,Marseille,Livré,null,null
O000026,2024-11-22,P00948,5,Paris,Livré,2024-12-13,Livraison incomplète
O000027,2024-12-28,P00707,1,Marseille,Expédié,null,null
O000028,2024-12-13,P00757,2,Lyon,Livré,null,null
O000029,2024-12-25,P00319,2,Lyon,Expédié,null,null
O000031,2024-11-07,P00435,3,Lyon,Expédié,null,null
O000032,2024-05-17,P00912,8,Lyon,Livré,null,null
O000033,2024-10-07,P00355,1,Lyon,Expédié,null,null
O000034,2024-12-06,P00116,3,Lyon,Livré,null,null
O000035,2024-12-03,P00193,3,Paris,Livré,null,null
O000036,2024-01-24,P00982,1,Lyon,Livré,null,null
O000037,2024-12-14,P00205,5,Marseille,Expédié,null,null
O000038,2024-01-17,P00012,1,Lyon,Expédié,null,null
O000039,2024-12-01,P00698,1,Paris,Livré,null,null
O000040,2024-03-19,P00452,15,Paris,Expédié,null,null
O000041,2024-11-14,P00466,15,Marseille,Expédié,null,null
O000042,2024-09-17,P00182,8,Lyon,Livré,null,null
O000043,2024-05-22,P00140,2,Paris,Expédié,2024-06-19,Livraison incomplète
O000044,2024-12-02,P00759,1,Lyon,Expédié,null,null
O000045,2024-09-24,P00732,5,Marseille,Livré,null,null
O000046,2024-11-11,P00886,2,Lyon,Expédié,null,null
O000047,2024-04-04,P00021,1,Paris,Expédié,null,null
O000048,2024-11-14,P00362,3,Marseille,Livré,null,null
O000049,2024-05-17,P00296,1,Lyon,Expédié,null,null
O000051,2024-11-26,P00765,12,Marseille,Expédié,null,null
O000053,2024-02-18,P00452,2,Marseille,Livré,null,null
O000054,2024-12-18,P00568,5,Marseille,Livré,null,null
O000056,2024-09-14,P00886,2,Paris,Livré,null,null
O000057,2024-12-03,P00791,3,Paris,Livré,null,null
O000058,2024-11-10,P00672,3,Paris,Livré,null,null
O000059,2024-12-07,P00658,1,Marseille,Expédié,null,null
O000060,2024-09-17,P00550,15,Paris,Expédié,null,null
O000061,2024-12-16,P00631,8,Paris,Expédié,null,null
O000062,2024-04-17,P00461,12,Paris,Livré,null,null
O000063,2024-10-25,P00343,12,Marseille,Expédié,null,null
O000064,2024-08-22,P00658,3,Marseille,Expédié,null,null
O000065,2024-03-05,P00240,12,Paris,Expédié,null,null
O000066,2024-05-05,P00890,1,Paris,Livré,2024-05-15,Produit abîmé
O000067,2024-08-23,P00046,1,Marseille,Expédié,null,null
O000069,2024-01-05,P00161,1,Marseille,Livré,null,null
O000071,2024-10-03,P00037,2,Lyon,Livré,2024-10-08,Livraison incomplète
O000072,2024-02-10,P00759,2,Lyon,Expédié,null,null
O000073,2024-02-26,P00612,2,Marseille,Livré,null,null
O000074,2024-01-17,P00147,10,Marseille,Livré,null,null
O000075,2024-01-16,P00653,2,Lyon,Livré,null,null
O000076,2024-12-06,P00504,2,Lyon,Livré,null,null
O000077,2024-10-02,P00246,3,Paris,Livré,null,null
O000078,2024-11-24,P00377,1,Lyon,Livré,null,null
O000080,2024-12-05,P00924,8,Paris,Livré,null,null
O000082,2024-11-21,P00339,1,Marseille,Expédié,null,null
O000083,2024-08-06,P00876,20,Paris,Livré,null,null
O000084,2024-02-16,P00341,8,Lyon,Livré,null,null
O000085,2024-12-19,P00370,1,Marseille,Livré,null,null
O000086,2024-08-05,P00414,1,Marseille,Livré,null,null
O000087,2024-12-08,P00026,8,Lyon,Expédié,null,null
O000088,2024-09-01,P00250,5,Marseille,Livré,null,null
O000090,2024-01-21,P00222,8,Paris,Expédié,null,null
O000091,2024-11-18,P00050,8,Lyon,Expédié,null,null
O000092,2024-10-11,P00953,1,Lyon,Expédié,null,null
O000093,2024-10-21,P00745,2,Marseille,Livré,null,null
O000094,2024-03-30,P00305,1,Marseille,Livré,null,null
O000096,2024-03-18,P00638,10,Lyon,Livré,null,null
O000097,2024-11-22,P00846,5,Paris,Livré,null,null
O000098,2024-01-19,P00026,2,Paris,Livré,null,null
O000099,2024-11-08,P00193,1,Lyon,Livré,2024-12-02,Mauvaise référence
O000100,2024-10-23,P00931,2,Lyon,Livré,null,null
O000101,2024-12-13,P00620,2,Lyon,Livré,null,null
O000102,2024-09-24,P00917,8,Marseille,Expédié,null,null
O000103,2024-04-11,P00010,5,Paris,Livré,null,null
O000104,2024-01-23,P00996,10,Marseille,Livré,null,null
O000105,2024-03-05,P00631,3,Marseille,Livré,null,null
O000106,2024-02-21,P00536,1,Lyon,Expédié,null,null
O000107,2024-09-28,P00839,5,Lyon,Livré,null,null
O000109,2024-06-21,P00379,8,Paris,Expédié,null,null
O000110,2024-05-26,P00729,3,Lyon,Livré,null,null
O000112,2024-02-24,P00070,8,Paris,Livré,null,null
O000113,2024-10-24,P00466,3,Marseille,Livré,null,null
O000114,2024-12-19,P00462,3,Lyon,Livré,null,null
O000116,2024-12-30,P00093,2,Paris,Livré,null,null
O000117,2024-12-17,P00831,1,Lyon,Expédié,null,null
O000118,2024-11-13,P00467,1,Marseille,Expédié,null,null
O000119,2024-10-24,P00012,1,Marseille,Livré,null,null
O000120,2024-09-01,P00843,5,Lyon,Livré,null,null
O000121,2024-11-02,P00012,2,Marseille,Livré,null,null
O000122,2024-12-12,P00407,3,Paris,Livré,null,null
O000123,2024-11-21,P00671,12,Paris,Livré,null,null
O000124,2024-12-17,P00890,1,Paris,Livré,null,null
O000125,2024-12-19,P00604,2,Paris,Livré,null,null
O000126,2024-06-24,P00063,8,Lyon,Expédié,2024-07-08,Client insatisfait
O000127,2024-11-04,P00831,1,Lyon,Livré,null,null
O000128,2024-06-02,P00240,1,Marseille,Livré,null,null
O000129,2024-12-11,P00254,2,Paris,Expédié,null,null
O000130,2024-12-10,P00336,1,Paris,Livré,null,null
O000131,2024-07-06,P00470,12,Paris,Livré,null,null
O000132,2024-04-27,P00400,8,Marseille,Livré,null,null
O000134,2024-05-11,P00028,5,Lyon,Livré,null,null
O000136,2024-03-07,P00008,10,Paris,Expédié,null,null
O000137,2024-08-28,P00160,8,Lyon,Livré,null,null
O000138,2024-03-24,P00462,1,Paris,Livré,null,null
O000139,2024-04-29,P00009,12,Paris,Expédié,null,null
O000140,2024-09-10,P00226,3,Paris,Livré,null,null
O000141,2024-01-03,P00592,8,Lyon,Livré,null,null
O000142,2024-10-04,P00426,12,Lyon,Livré,null,null
O000143,2024-12-24,P00233,2,Lyon,Livré,null,null
O000145,2024-11-16,P00973,1,Marseille,Expédié,null,null
O000146,2024-11-12,P00011,1,Paris,Livré,null,null
O000147,2024-01-15,P00693,2,Paris,Livré,null,null
O000149,2024-11-02,P00037,8,Paris,Livré,null,null
O000150,2024-11-25,P00948,10,Marseille,Livré,2024-12-16,Mauvaise référence
O000151,2024-12-22,P00396,1,Lyon,Livré,null,null
O000152,2024-12-22,P00143,3,Marseille,Livré,null,null
O000153,2024-10-29,P00105,2,Marseille,Livré,null,null
O000154,2024-12-03,P00403,1,Marseille,Livré,null,null
O000155,2024-10-09,P00099,1,Marseille,Livré,null,null
O000156,2024-10-04,P00435,2,Paris,Expédié,null,null
O000158,2024-10-14,P00506,15,Paris,Livré,null,null
O000159,2024-09-29,P00550,2,Lyon,Livré,null,null
O000160,2024-09-26,P00458,3,Lyon,Livré,null,null
O000161,2024-12-27,P00252,5,Paris,Livré,null,null
O000162,2024-03-29,P00173,2,Marseille,Expédié,null,null
O000163,2024-06-15,P00037,15,Marseille,Livré,null,null
O000164,2024-11-14,P00396,15,Marseille,Livré,null,null
O000165,2024-01-30,P00462,2,Paris,Livré,null,null
O000166,2024-12-21,P00046,3,Marseille,Livré,null,null
O000167,2024-11-06,P00754,2,Paris,Livré,null,null
O000168,2024-02-20,P00149,2,Paris,Expédié,null,null
O000169,2024-09-03,P00742,1,Lyon,Expédié,null,null
O000170,2024-11-19,P00792,5,Lyon,Expédié,2024-12-03,Livraison incomplète
O000171,2024-11-24,P00449,3,Lyon,Expédié,null,null
O000172,2024-04-30,P00924,1,Lyon,Livré,null,null
O000173,2024-12-07,P00373,2,Paris,Livré,null,null
O000174,2024-12-03,P00562,12,Lyon,Livré,null,null
O000176,2024-10-07,P00025,1,Paris,Livré,null,null
O000177,2024-04-03,P00839,1,Paris,Expédié,null,null
O000178,2024-06-14,P00463,3,Lyon,Livré,null,null
O000179,2024-01-16,P00754,20,Paris,Expédié,null,null
O000180,2024-12-09,P00707,1,Marseille,Livré,null,null
O000181,2024-08-28,P00166,5,Marseille,Livré,null,null
O000183,2024-11-11,P00573,8,Paris,Livré,null,null
O000184,2024-12-13,P00893,1,Paris,Livré,null,null
O000185,2024-12-13,P00792,8,Marseille,Livré,null,null
O000186,2024-03-27,P00099,2,Marseille,Livré,null,null
O000187,2024-11-13,P00979,5,Marseille,Livré,null,null
O000188,2024-11-21,P00811,5,Paris,Livré,null,null
O000189,2024-12-03,P00604,3,Lyon,Expédié,null,null
O000190,2024-01-26,P00755,1,Marseille,Expédié,null,null
O000191,2024-04-07,P00738,10,Marseille,Expédié,null,null
O000192,2024-01-05,P00389,2,Marseille,Expédié,null,null
O000193,2024-01-09,P00175,1,Lyon,Livré,null,null
O000194,2024-01-15,P00093,1,Paris,Livré,null,null
O000195,2024-12-10,P00488,3,Marseille,Livré,null,null
O000196,2024-12-28,P00717,5,Lyon,Livré,null,null
O000198,2024-01-23,P00357,1,Paris,Livré,2024-02-01,Mauvaise référence
O000199,2024-03-28,P00931,3,Lyon,Expédié,2024-04-12,Client insatisfait
O000200,2024-10-24,P00182,1,Paris,Livré,null,null
O000201,2024-12-12,P00612,5,Paris,Livré,null,null
O000202,2024-11-09,P00400,1,Marseille,Expédié,null,null
O000203,2024-12-21,P00890,5,Lyon,Livré,null,null
O000204,2024-03-22,P00047,2,Paris,Livré,null,null
O000205,2024-05-11,P00496,12,Marseille,Livré,null,null
O000206,2024-12-27,P00175,1,Marseille,Expédié,null,null
O000208,2024-06-04,P00558,2,Marseille,Livré,2024-06-11,Livraison incomplète
O000209,2024-03-04,P00933,1,Marseille,Livré,null,null
O000210,2024-09-28,P00759,12,Paris,Livré,null,null
O000211,2024-08-08,P00802,10,Paris,Livré,null,null
O000212,2024-12-28,P00198,2,Paris,Expédié,null,null
O000213,2024-01-08,P00809,5,Marseille,Livré,null,null
O000214,2024-12-22,P00876,8,Lyon,Livré,null,null
O000215,2024-12-14,P00008,3,Marseille,Livré,null,null
O000216,2024-12-21,P00212,3,Lyon,Livré,2024-12-26,Mauvaise référence
O000217,2024-01-06,P00966,1,Lyon,Expédié,null,null
O000218,2024-05-03,P00503,1,Lyon,Livré,2024-05-10,Client insatisfait
O000220,2024-09-14,P00891,12,Paris,Livré,null,null
O000221,2024-03-23,P00884,12,Lyon,Livré,null,null
O000222,2024-10-17,P00133,5,Marseille,Livré,null,null
O000223,2024-11-16,P00948,2,Marseille,Livré,null,null
O000224,2024-11-02,P00945,2,Paris,Expédié,null,null
O000225,2024-01-10,P00981,8,Lyon,Expédié,null,null
O000226,2024-12-26,P00140,12,Marseille,Livré,null,null
O000227,2024-01-17,P00039,10,Lyon,Expédié,null,null
O000228,2024-12-13,P00118,8,Marseille,Livré,null,null
O000229,2024-12-12,P00604,5,Lyon,Expédié,null,null
O000230,2024-08-27,P00274,1,Lyon,Expédié,null,null
O000231,2024-12-13,P00613,1,Marseille,Expédié,null,null
O000232,2024-09-11,P00754,12,Marseille,Livré,null,null
O000234,2024-02-21,P00182,5,Marseille,Livré,null,null
