id_commande;id_produit;quantite;entrepot;date_retour;motif
O043330;P00360;2;Paris;26/06/2024;Mauvais article
O031373;P00739;4;Marseille;01/09/2024;Endommage
O028206;P00144;8;Marseille;20/04/2024;Le client a change d'avis
O004999;P00765;5;Lyon;29/12/2024;Pas comme decrit
O019607;P00127;2;Lyon;05/07/2024;Endommage
O003543;P00804;7;Lyon;11/10/2024;Endommage
O004188;P00958;6;Paris;09/03/2024;Endommage
O049212;P00862;7;Marseille;16/09/2024;Mauvais article
O012795;P00548;2;Paris;12/07/2024;Le client a change d'avis
O022736;P00570;4;Lyon;16/04/2024;Pas comme decrit
O045655;P00138;8;Marseille;10/08/2024;Pas comme decrit
O020551;P00514;8;Paris;21/05/2024;Pas comme decrit
O013695;P00323;2;Paris;24/06/2024;Pas comme decrit
O024778;P00752;5;Paris;27/12/2024;Mauvais article
O021079;P00285;5;Marseille;08/12/2024;Pas comme decrit
O034413;P00843;2;Marseille;09/03/2024;Pas comme decrit
O046563;P00860;1;Paris;20/01/2024;Mauvais article
O036972;P00491;4;Paris;25/09/2024;Pas comme decrit
O013616;P00611;6;Lyon;15/03/2024;Pas comme decrit
O022693;P00096;5;Paris;06/08/2024;Pas comme decrit
O016547;P00829;2;Lyon;13/04/2024;Mauvais article
O046365;P00465;2;Marseille;19/08/2024;Pas comme decrit
O001810;P00813;5;Lyon;09/05/2024;Le client a change d'avis
O041235;P00438;8;Marseille;16/03/2024;Mauvais article
O044578;P00094;7;Lyon;08/11/2024;Pas comme decrit
O018513;P00126;2;Marseille;27/10/2024;Endommage
O047823;P00675;7;Lyon;05/02/2024;Mauvais article
O020548;P00948;6;Lyon;29/08/2024;Endommage
O043111;P00152;2;Marseille;15/03/2024;Endommage
O039014;P00105;3;Lyon;06/08/2024;Mauvais article
O040819;P00785;7;Paris;05/04/2024;Le client a change d'avis
O009344;P00266;8;Lyon;11/11/2024;Endommage
O027313;P00230;2;Marseille;06/08/2024;Pas comme decrit
O036691;P00619;8;Marseille;21/08/2024;Mauvais article
O013200;P00995;3;Marseille;10/02/2024;Endommage
