id_achat;date_achat;id_produit;quantité;id_fournisseur;prix_unitaire;délai_livraison_jours
PO000001;22/03/2024;P00627;22;S035;129.62;14
PO000002;12/06/2024;P00469;51;S018;110.81;8
PO000003;19/01/2024;P00849;16;S046;140.58;8
PO000004;20/11/2024;P00484;16;S030;120.77;9
PO000005;07/06/2024;P00196;22;S046;256.05;13
PO000006;21/03/2024;P00013;69;S003;90.66;12
PO000007;27/01/2024;P00775;48;S030;151.01;9
PO000008;13/07/2024;P00876;38;S046;299.85;8
PO000009;18/10/2024;P00631;86;S009;194.49;9
PO000010;29/08/2024;P00519;34;S018;290.86;10
PO000011;24/09/2024;P00274;34;S034;132.94;11
PO000012;28/01/2024;P00752;24;S041;103.28;3
PO000013;12/02/2024;P00963;83;S040;81.21;4
PO000014;14/07/2024;P00509;87;S034;233.21;2
PO000015;07/11/2024;P00380;88;S044;132.32;8
PO000016;20/06/2024;P00870;90;S005;176.8;2
PO000017;15/05/2024;P00989;16;S033;126.68;3
PO000018;24/11/2024;P00209;43;S020;79.69;14
PO000019;07/05/2024;P00695;66;S028;34.53;5
PO000020;22/12/2024;P00597;79;S006;134.66;6
PO000021;07/12/2024;P00960;71;S006;222.78;13
PO000022;13/06/2024;P00917;78;S020;218.21;13
PO000023;25/01/2024;P00023;36;S049;169.34;4
PO000024;23/06/2024;P00583;63;S033;50.24;8
PO000025;29/04/2024;P00754;17;S045;21.85;4
PO000026;16/06/2024;P00977;32;S027;296.62;4
PO000027;19/04/2024;P00875;55;S050;132.76;5
PO000028;20/05/2024;P00685;13;S031;54.98;7
PO000029;22/07/2024;P00911;75;S009;141.07;12
PO000030;03/07/2024;P00624;73;S028;17.74;14
PO000031;02/01/2024;P00652;10;S023;96.73;5
PO000032;04/07/2024;P00826;12;S022;212.35;3
PO000033;03/02/2024;P00488;60;S004;61.93;12
PO000034;25/09/2024;P00075;44;S009;58.04;11
PO000035;28/09/2024;P00492;11;S023;103.61;8
