id_commande,date_commande,id_produit,quantité,entrepôt,statut,date_retour,motif
O000001,03/09/2024,P00413,2,Marseille,Livré,,
O000002,09/11/2024,P00778,15,Lyon,Expédié,,
O000004,03/11/2024,P00535,8,Lyon,Livré,,
O000006,24/01/2024,P00898,3,Paris,Livré,,
O000007,15/02/2024,P00445,1,Lyon,Livré,,
O000008,30/04/2024,P00526,1,Lyon,Livré,,
O000009,29/12/2024,P00942,1,Lyon,Livré,,
O000011,10/12/2024,P00699,10,Lyon,Livré,,
O000012,26/11/2024,P00046,5,Lyon,Livré,,
O000013,29/10/2024,P00765,5,Marseille,Expédié,,
O000014,05/03/2024,P00846,1,Marseille,Livré,,
O000015,07/12/2024,P00417,15,Lyon,Livré,,
O000018,25/11/2024,P00630,10,Paris,Livré,,
O000019,16/04/2024,P00876,1,Paris,Expédié,,
O000020,21/11/2024,P00516,1,Lyon,Livré,18/12/2024,Mauvaise référence
O000021,13/08/2024,P00171,1,Paris,Expédié,29/08/2024,Livraison incomplète
O000022,19/02/2024,P00414,2,Paris,Livré,18/03/2024,Produit abîmé
O000023,05/12/2024,P00699,3,Lyon,Livré,,
O000024,15/03/2024,P00012,2,Marseille,Livré,28/03/2024,Mauvaise référence
O000025,25/12/2024,P00467,2,Marseille,Livré,,
O000026,22/11/2024,P00948,5,Paris,Livré,13/12/2024,Livraison incomplète
O000027,28/12/2024,P00707,1,Marseille,Expédié,,
O000028,13/12/2024,P00757,2,Lyon,Livré,,
O000029,25/12/2024,P00319,2,Lyon,Expédié,,
O000031,07/11/2024,P00435,3,Lyon,Expédié,,
O000032,17/05/2024,P00912,8,Lyon,Livré,,
O000033,07/10/2024,P00355,1,Lyon,Expédié,,
O000034,06/12/2024,P00116,3,Lyon,Livré,,
O000035,03/12/2024,P00193,3,Paris,Livré,,
O000036,24/01/2024,P00982,1,Lyon,Livré,,
O000037,14/12/2024,P00205,5,Marseille,Expédié,,
O000038,17/01/2024,P00012,1,Lyon,Expédié,,
O000039,01/12/2024,P00698,1,Paris,Livré,,
O000040,19/03/2024,P00452,15,Paris,Expédié,,
O000041,14/11/2024,P00466,15,Marseille,Expédié,,
O000042,17/09/2024,P00182,8,Lyon,Livré,,
O000043,22/05/2024,P00140,2,Paris,Expédié,19/06/2024,Livraison incomplète
O000044,02/12/2024,P00759,1,Lyon,Expédié,,
O000045,24/09/2024,P00732,5,Marseille,Livré,,
O000046,11/11/2024,P00886,2,Lyon,Expédié,,
O000047,04/04/2024,P00021,1,Paris,Expédié,,
O000048,14/11/2024,P00362,3,Marseille,Livré,,
O000049,17/05/2024,P00296,1,Lyon,Expédié,,
O000051,26/11/2024,P00765,12,Marseille,Expédié,,
O000053,18/02/2024,P00452,2,Marseille,Livré,,
O000054,18/12/2024,P00568,5,Marseille,Livré,,
O000056,14/09/2024,P00886,2,Paris,Livré,,
O000057,03/12/2024,P00791,3,Paris,Livré,,
O000058,10/11/2024,P00672,3,Paris,Livré,,
O000059,07/12/2024,P00658,1,Marseille,Expédié,,
O000060,17/09/2024,P00550,15,Paris,Expédié,,
O000061,16/12/2024,P00631,8,Paris,Expédié,,
O000062,17/04/2024,P00461,12,Paris,Livré,,
O000063,25/10/2024,P00343,12,Marseille,Expédié,,
O000064,22/08/2024,P00658,3,Marseille,Expédié,,
O000065,05/03/2024,P00240,12,Paris,Expédié,,
O000066,05/05/2024,P00890,1,Paris,Livré,15/05/2024,Produit abîmé
O000067,23/08/2024,P00046,1,Marseille,Expédié,,
O000069,05/01/2024,P00161,1,Marseille,Livré,,
O000071,03/10/2024,P00037,2,Lyon,Livré,08/10/2024,Livraison incomplète
O000072,10/02/2024,P00759,2,Lyon,Expédié,,
O000073,26/02/2024,P00612,2,Marseille,Livré,,
O000074,17/01/2024,P00147,10,Marseille,Livré,,
O000075,16/01/2024,P00653,2,Lyon,Livré,,
O000076,06/12/2024,P00504,2,Lyon,Livré,,
O000077,02/10/2024,P00246,3,Paris,Livré,,
O000078,24/11/2024,P00377,1,Lyon,Livré,,
O000080,05/12/2024,P00924,8,Paris,Livré,,
O000082,21/11/2024,P00339,1,Marseille,Expédié,,
O000083,06/08/2024,P00876,20,Paris,Livré,,
O000084,16/02/2024,P00341,8,Lyon,Livré,,
O000085,19/12/2024,P00370,1,Marseille,Livré,,
O000086,05/08/2024,P00414,1,Marseille,Livré,,
O000087,08/12/2024,P00026,8,Lyon,Expédié,,
O000088,01/09/2024,P00250,5,Marseille,Livré,,
