id_produit,catégorie,marque,prix,stock_minimum,date,entrepot,niveau_stock
P00001,Soins capillaires,Luxe eclat,467.42,52,01/06/2024,Lyon,88
P00001,Soins capillaires,Luxe eclat,467.42,52,22/04/2024,Paris,141
P00002,Accessoires,Maison Pure,291.26,10,25/09/2024,Lyon,286
P00003,Maquillage,Essentielle Paris,354.39,60,18/02/2024,Paris,177
P00003,Maquillage,Essentielle Paris,354.39,60,13/07/2024,Lyon,95
P00004,Accessoires,Reflet d'or,462.8,33,06/08/2024,Paris,57
P00004,Accessoires,Reflet d'or,462.8,33,30/06/2024,Lyon,24
P00005,Accessoires,Elixir Haute Beauté,359.47,33,05/10/2024,Paris,65
P00006,Parfums,Luxe eclat,93.22,26,03/09/2024,Paris,215
P00006,Parfums,Luxe eclat,93.22,26,14/09/2024,Lyon,182
P00007,Maquillage,Maison Pure,296.62,14,02/10/2024,Paris,200
P00007,Maquillage,Maison Pure,296.62,14,15/12/2024,Lyon,165
P00008,Maquillage,Essentielle Paris,311.22,29,15/09/2024,Paris,296
P00009,Maquillage,Reflet d'or,223.58,30,13/09/2024,Paris,88
P00009,Maquillage,Reflet d'or,223.58,30,06/07/2024,Marseille,227
P00010,Accessoires,Elixir Haute Beauté,373.49,67,29/11/2024,Paris,108
P00011,Soins capillaires,Luxe eclat,468.5,40,07/03/2024,Paris,85
P00012,Maquillage,Maison Pure,464.27,20,04/04/2024,Paris,31
P00012,Maquillage,Maison Pure,464.27,20,01/11/2024,Lyon,98
P00013,Accessoires,Essentielle Paris,236.4,61,06/05/2024,Lyon,219
P00014,Parfums,Reflet d'or,74.35,24,15/03/2024,Paris,100
P00014,Parfums,Reflet d'or,74.35,24,14/02/2024,Lyon,262
P00015,Soins capillaires,Elixir Haute Beauté,492.72,92,25/04/2024,Paris,261
P00015,Soins capillaires,Elixir Haute Beauté,492.72,92,22/03/2024,Lyon,165
P00016,Parfums,Luxe eclat,422.67,16,21/11/2024,Lyon,239
P00016,Parfums,Luxe eclat,422.67,16,06/02/2024,Marseille,278
P00017,Soins capillaires,Maison Pure,79.84,37,03/12/2024,Lyon,22
P00018,Accessoires,Essentielle Paris,462.0,60,28/06/2024,Paris,93
P00018,Accessoires,Essentielle Paris,462.0,60,16/02/2024,Lyon,274
P00019,Soins de la peau,Reflet d'or,437.55,67,19/12/2024,Lyon,74
P00020,Soins capillaires,Elixir Haute Beauté,269.04,14,19/03/2024,Marseille,297
P00021,Parfums,Luxe eclat,303.81,14,03/01/2024,Marseille,176
P00021,Parfums,Luxe eclat,303.81,14,19/07/2024,Lyon,264
P00022,Accessoires,Maison Pure,211.52,17,20/01/2024,Paris,142
P00023,Soins capillaires,Essentielle Paris,46.29,73,02/06/2024,Lyon,298
P00023,Soins capillaires,Essentielle Paris,46.29,73,13/03/2024,Marseille,256
P00024,Soins de la peau,Reflet d'or,180.89,19,28/04/2024,Paris,113
P00024,Soins de la peau,Reflet d'or,180.89,19,23/09/2024,Lyon,266
P00025,Soins de la peau,Elixir Haute Beauté,405.37,47,11/06/2024,Paris,78
P00026,Maquillage,Luxe eclat,22.22,90,20/03/2024,Lyon,74
P00026,Maquillage,Luxe eclat,22.22,90,27/04/2024,Paris,194
P00027,Maquillage,Maison Pure,180.08,17,26/02/2024,Lyon,256
P00027,Maquillage,Maison Pure,180.08,17,27/09/2024,Paris,236
P00028,Parfums,Essentielle Paris,211.12,34,27/03/2024,Marseille,142
P00029,Soins capillaires,Reflet d'or,277.95,82,11/02/2024,Marseille,284
P00029,Soins capillaires,Reflet d'or,277.95,82,15/09/2024,Paris,268
P00030,Soins capillaires,Elixir Haute Beauté,461.53,75,03/04/2024,Paris,232
P00030,Soins capillaires,Elixir Haute Beauté,461.53,75,26/06/2024,Marseille,149
P00031,Maquillage,Luxe eclat,186.25,88,22/07/2024,Lyon,30
P00032,Soins capillaires,Maison Pure,186.54,59,24/07/2024,Lyon,57
P00032,Soins capillaires,Maison Pure,186.54,59,06/12/2024,Paris,296
P00033,Soins capillaires,Essentielle Paris,374.0,76,04/11/2024,Paris,126
P00034,Soins de la peau,Reflet d'or,237.06,58,03/06/2024,Paris,161
P00034,Soins de la peau,Reflet d'or,237.06,58,17/06/2024,Lyon,88
P00035,Maquillage,Elixir Haute Beauté,127.81,45,20/06/2024,Lyon,187
P00035,Maquillage,Elixir Haute Beauté,127.81,45,12/04/2024,Paris,205
P00036,Accessoires,Luxe eclat,237.17,77,02/11/2024,Paris,167
P00036,Accessoires,Luxe eclat,237.17,77,04/01/2024,Lyon,216
P00037,Maquillage,Maison Pure,87.61,87,10/07/2024,Paris,222
P00037,Maquillage,Maison Pure,87.61,87,06/12/2024,Marseille,75
P00038,Accessoires,Essentielle Paris,104.67,50,17/02/2024,Paris,131
P00039,Soins de la peau,Reflet d'or,259.22,98,11/04/2024,Paris,298
P00039,Soins de la peau,Reflet d'or,259.22,98,27/05/2024,Lyon,11
P00040,Parfums,Elixir Haute Beauté,221.08,71,20/03/2024,Paris,161
P00040,Parfums,Elixir Haute Beauté,221.08,71,29/08/2024,Lyon,216
P00041,Soins capillaires,Luxe eclat,459.13,19,11/02/2024,Paris,239
P00042,Soins de la peau,Maison Pure,193.95,30,25/07/2024,Paris,263
P00042,Soins de la peau,Maison Pure,193.95,30,25/01/2024,Lyon,62
P00043,Soins capillaires,Essentielle Paris,298.68,45,22/06/2024,Lyon,2
P00043,Soins capillaires,Essentielle Paris,298.68,45,11/11/2024,Marseille,274
P00044,Parfums,Reflet d'or,323.49,21,19/05/2024,Lyon,230
P00044,Parfums,Reflet d'or,323.49,21,20/02/2024,Paris,182
P00045,Parfums,Elixir Haute Beauté,26.29,11,14/06/2024,Paris,117
P00046,Soins de la peau,Luxe eclat,338.5,22,16/11/2024,Paris,11
P00047,Parfums,Maison Pure,105.46,62,17/06/2024,Lyon,41
P00047,Parfums,Maison Pure,105.46,62,13/06/2024,Paris,289
P00048,Accessoires,Essentielle Paris,481.31,41,29/05/2024,Paris,233
P00048,Accessoires,Essentielle Paris,481.31,41,02/06/2024,Lyon,90
P00049,Parfums,Reflet d'or,91.36,25,23/09/2024,Paris,128
P00050,Soins capillaires,Elixir Haute Beauté,219.02,41,26/07/2024,Lyon,26
P00051,Soins capillaires,Luxe eclat,60.97,41,22/08/2024,Marseille,4
P00051,Soins capillaires,Luxe eclat,60.97,41,19/03/2024,Paris,91
P00052,Soins capillaires,Maison Pure,498.5,20,10/06/2024,Lyon,177
P00052,Soins capillaires,Maison Pure,498.5,20,19/07/2024,Paris,104
P00053,Soins capillaires,Essentielle Paris,261.05,19,12/10/2024,Paris,216
P00054,Accessoires,Reflet d'or,305.78,24,25/05/2024,Lyon,76
P00054,Accessoires,Reflet d'or,305.78,24,13/07/2024,Paris,213
P00055,Maquillage,Elixir Haute Beauté,52.2,26,28/03/2024,Lyon,94
P00056,Soins de la peau,Luxe eclat,379.98,49,30/12/2024,Lyon,267
P00056,Soins de la peau,Luxe eclat,379.98,49,01/09/2024,Paris,101
P00057,Soins capillaires,Maison Pure,120.75,27,16/08/2024,Lyon,140
P00057,Soins capillaires,Maison Pure,120.75,27,25/07/2024,Paris,42
P00058,Parfums,Essentielle Paris,451.07,64,16/05/2024,Marseille,151
P00058,Parfums,Essentielle Paris,451.07,64,26/12/2024,Lyon,172
P00059,Soins capillaires,Reflet d'or,118.47,82,04/07/2024,Paris,35
P00059,Soins capillaires,Reflet d'or,118.47,82,06/05/2024,Marseille,298
P00060,Parfums,Elixir Haute Beauté,111.53,34,08/02/2024,Lyon,2
P00061,Parfums,Luxe eclat,37.54,68,08/09/2024,Paris,281
P00061,Parfums,Luxe eclat,37.54,68,06/07/2024,Lyon,242
P00061,Parfums,Luxe eclat,37.54,68,04/12/2024,Marseille,219
P00062,Soins capillaires,Maison Pure,246.59,87,30/03/2024,Lyon,286
P00062,Soins capillaires,Maison Pure,246.59,87,11/04/2024,Paris,251
P00063,Accessoires,Essentielle Paris,291.12,98,11/06/2024,Lyon,96
P00063,Accessoires,Essentielle Paris,291.12,98,01/01/2024,Paris,157
P00064,Parfums,Reflet d'or,51.54,31,28/03/2024,Paris,201
P00064,Parfums,Reflet d'or,51.54,31,15/04/2024,Marseille,243
P00064,Parfums,Reflet d'or,51.54,31,14/11/2024,Lyon,218
P00065,Parfums,Elixir Haute Beauté,392.25,39,23/06/2024,Marseille,120
P00065,Parfums,Elixir Haute Beauté,392.25,39,01/08/2024,Paris,220
P00066,Soins capillaires,Luxe eclat,237.58,93,02/10/2024,Paris,76
P00067,Parfums,Maison Pure,271.71,94,06/07/2024,Paris,142
P00067,Parfums,Maison Pure,271.71,94,04/05/2024,Marseille,276
P00068,Parfums,Essentielle Paris,231.57,53,15/10/2024,Paris,272
P00068,Parfums,Essentielle Paris,231.57,53,29/02/2024,Marseille,55
P00069,Soins capillaires,Reflet d'or,212.37,41,05/03/2024,Lyon,161
P00069,Soins capillaires,Reflet d'or,212.37,41,21/03/2024,Paris,158
P00070,Soins capillaires,Elixir Haute Beauté,288.63,60,11/12/2024,Paris,198
P00070,Soins capillaires,Elixir Haute Beauté,288.63,60,11/03/2024,Lyon,259
P00071,Soins de la peau,Luxe eclat,94.52,55,24/09/2024,Lyon,81
P00071,Soins de la peau,Luxe eclat,94.52,55,19/01/2024,Paris,130
P00072,Accessoires,Maison Pure,107.33,30,06/12/2024,Paris,199
P00072,Accessoires,Maison Pure,107.33,30,21/01/2024,Marseille,229
P00073,Accessoires,Essentielle Paris,433.66,41,09/12/2024,Paris,161
P00074,Parfums,Reflet d'or,474.14,48,09/06/2024,Paris,72
P00075,Accessoires,Elixir Haute Beauté,199.19,21,11/12/2024,Lyon,4
P00075,Accessoires,Elixir Haute Beauté,199.19,21,24/11/2024,Paris,18
P00076,Parfums,Luxe eclat,149.96,56,03/11/2024,Lyon,165
P00076,Parfums,Luxe eclat,149.96,56,17/06/2024,Paris,61
P00077,Soins de la peau,Maison Pure,329.12,27,30/10/2024,Paris,121
