id_commande;date_commande;id_produit;quantité;entrepôt;statut
O000001;22/07/2024;P00527;6;Marseille;Livré
O000002;18/02/2024;P00336;5;Lyon;Expédié
O000003;19/03/2024;P00084;6;Lyon;Annulé
O000004;28/08/2024;P00887;8;Lyon;Livré
O000005;14/12/2024;P00778;1;Marseille;Annulé
O000006;02/06/2024;P00810;6;Paris;Livré
O000007;30/09/2024;P00154;4;Lyon;Livré
O000008;05/04/2024;P00817;9;Lyon;Livré
O000009;01/08/2024;P00253;8;Lyon;Livré
O000010;20/10/2024;P00502;7;Marseille;Annulé
O000011;27/07/2024;P00919;3;Lyon;Livré
O000012;08/12/2024;P00448;9;Lyon;Livré
O000013;28/03/2024;P00273;3;Marseille;Expédié
O000014;01/11/2024;P00930;6;Marseille;Livré
O000015;20/09/2024;P00873;2;Lyon;Livré
O000016;20/11/2024;P00825;8;Paris;En attente
O000017;15/11/2024;P00854;1;Marseille;En attente
O000018;05/06/2024;P00507;1;Paris;Livré
O000019;04/06/2024;P00132;8;Paris;Expédié
O000020;18/05/2024;P00711;9;Lyon;Livré
O000021;30/04/2024;P00325;9;Paris;Expédié
O000022;05/03/2024;P00351;8;Paris;Livré
O000023;16/04/2024;P00083;8;Lyon;Livré
O000024;26/05/2024;P00964;4;Marseille;Livré
O000025;16/05/2024;P00818;8;Marseille;Livré
O000026;10/06/2024;P00126;7;Paris;Livré
O000027;09/04/2024;P00214;9;Marseille;Expédié
O000028;03/12/2024;P00835;8;Lyon;Livré
O000029;02/11/2024;P00727;2;Lyon;Expédié
O000030;20/05/2024;P00964;8;Paris;En attente
O000031;23/03/2024;P00750;8;Lyon;Expédié
O000032;25/06/2024;P00600;9;Lyon;Livré
O000033;16/07/2024;P00896;3;Lyon;Expédié
O000034;21/04/2024;P00955;8;Lyon;Livré
O000035;25/02/2024;P00462;8;Paris;Livré
O000036;27/06/2024;P00625;4;Lyon;Livré
O000037;04/07/2024;P00105;5;Marseille;Expédié
O000038;05/08/2024;P00371;2;Lyon;Expédié
O000039;11/11/2024;P00063;6;Paris;Livré
O000040;04/08/2024;P00963;9;Paris;Expédié
O000041;29/04/2024;P00751;3;Marseille;Expédié
O000042;23/06/2024;P00469;6;Lyon;Livré
O000043;23/01/2024;P00026;8;Paris;Expédié
O000044;31/07/2024;P00640;2;Lyon;Expédié
O000045;22/08/2024;P00001;1;Marseille;Livré
O000046;13/01/2024;P00094;6;Lyon;Expédié
O000047;10/04/2024;P00883;3;Paris;Expédié
O000048;24/01/2024;P00452;2;Marseille;Livré
O000049;29/12/2024;P00974;8;Lyon;Expédié
O000050;11/01/2024;P00914;9;Paris;En attente
O000051;29/09/2024;P00012;7;Marseille;Expédié
O000052;07/10/2024;P00678;9;Marseille;Annulé
O000053;03/04/2024;P00298;7;Marseille;Livré
O000054;19/07/2024;P00420;3;Marseille;Livré
O000055;21/01/2024;P00784;1;Lyon;En attente
O000056;05/12/2024;P00961;1;Paris;Livré
O000057;29/07/2024;P00579;5;Paris;Livré
O000058;19/05/2024;P00167;9;Paris;Livré
O000059;19/10/2024;P00254;6;Marseille;Expédié
O000060;24/10/2024;P00867;2;Paris;Expédié
O000061;10/04/2024;P00765;6;Paris;Expédié
O000062;30/10/2024;P00758;4;Paris;Livré
O000063;24/12/2024;P00571;9;Marseille;Expédié
O000064;28/01/2024;P00975;3;Marseille;Expédié
O000065;10/02/2024;P00294;7;Paris;Expédié
O000066;20/12/2024;P00144;8;Paris;Livré
O000067;29/10/2024;P00209;2;Marseille;Expédié
O000068;25/05/2024;P00226;7;Paris;En attente
O000069;12/09/2024;P00458;5;Marseille;Livré
O000070;14/08/2024;P00907;1;Paris;Annulé
O000071;23/08/2024;P00284;7;Lyon;Livré
O000072;26/12/2024;P00603;8;Lyon;Expédié
O000073;13/01/2024;P00486;1;Marseille;Livré
O000074;28/07/2024;P00978;4;Marseille;Livré
O000075;16/08/2024;P00111;4;Lyon;Livré
O000076;09/04/2024;P00752;5;Lyon;Livré
O000077;31/01/2024;P00350;5;Paris;Livré
O000078;16/01/2024;P00333;4;Lyon;Livré
O000079;16/05/2024;P00080;1;Lyon;Annulé
O000080;24/11/2024;P00386;9;Paris;Livré
O000081;14/06/2024;P00404;5;Lyon;Annulé
O000082;05/11/2024;P00716;1;Marseille;Expédié
O000083;09/04/2024;P00989;3;Paris;Livré
O000084;18/04/2024;P00750;1;Lyon;Livré
O000085;08/12/2024;P00328;7;Marseille;Livré
O000086;21/06/2024;P00294;7;Marseille;Livré
O000087;24/08/2024;P00494;6;Lyon;Expédié
O000088;10/06/2024;P00184;9;Marseille;Livré
O000089;03/08/2024;P00212;7;Marseille;En attente
O000090;20/09/2024;P00251;5;Paris;Expédié
O000091;19/09/2024;P00739;7;Lyon;Expédié
O000092;18/10/2024;P00167;4;Lyon;Expédié
O000093;30/09/2024;P00543;9;Marseille;Livré
O000094;03/01/2024;P00848;6;Marseille;Livré
O000095;28/01/2024;P00663;4;Paris;En attente
O000096;21/11/2024;P00162;5;Lyon;Livré
O000097;28/05/2024;P00608;8;Paris;Livré
O000098;28/01/2024;P00273;7;Paris;Livré
O000099;05/11/2024;P00875;6;Lyon;Livré
O000100;05/03/2024;P00536;2;Lyon;Livré
O000101;21/12/2024;P00419;3;Lyon;Livré
O000102;21/01/2024;P00630;1;Marseille;Expédié
O000103;08/09/2024;P00407;3;Paris;Livré
O000104;22/08/2024;P00392;2;Marseille;Livré
O000105;14/08/2024;P00438;6;Marseille;Livré
O000106;13/01/2024;P00087;4;Lyon;Expédié
